time,latitude,longitude,depth,magnitude,place
1343451655200,12.357,47.354,10.0,4.5,"161 km NW of Las Khorey, Somalia"
1343451271010,12.498,47.214,10.0,4.3,"182 km NW of Las Khorey, Somalia"
1341159553480,13.347,41.787,10.0,4.8,"65 km S of Edd, Eritrea"
1327266215950,3.678,36.091,10.0,5.2,"82 km NE of Lodwar, Kenya"
1324810100240,13.452,40.806,10.0,4.6,"109 km WSW of Edd, Eritrea"
1322878482330,4.596,36.713,10.0,5.1,"48 km SSE of Turmi, Ethiopia"
1319700387690,11.731,44.208,10.0,4.6,"103 km ESE of Obock, Djibouti"
1319321287280,11.665,44.164,10.0,4.0,"101 km ESE of Obock, Djibouti"
1319319042540,11.872,44.11,10.0,4.8,"90 km E of Obock, Djibouti"
1319313826930,11.774,44.188,10.0,4.7,"100 km ESE of Obock, Djibouti"
1319313812710,11.675,44.249,10.0,4.3,"109 km ESE of Obock, Djibouti"
1319245090200,11.427,44.243,10.0,4.4,"108 km E of Loyada, Djibouti"
1319243974170,11.802,44.127,10.0,4.1,"93 km ESE of Obock, Djibouti"
1319242404080,11.758,44.222,10.0,4.1,"104 km ESE of Obock, Djibouti"
1319239154750,11.824,44.188,10.0,4.9,"99 km E of Obock, Djibouti"
1319234554300,11.64,44.091,10.0,4.4,"93 km ENE of Loyada, Djibouti"
1319227798450,11.76,44.172,10.0,4.8,"98 km ESE of Obock, Djibouti"
1319211613140,11.908,44.147,10.0,4.9,"93 km E of Obock, Djibouti"
1319200491670,11.841,44.213,10.0,4.8,"101 km E of Obock, Djibouti"
1319185032000,11.539,44.137,10.0,4.8,"96 km E of Loyada, Djibouti"
1319179903320,11.593,44.076,10.0,4.3,"90 km E of Loyada, Djibouti"
1318813405610,7.643,37.868,10.0,4.4,Ethiopia
1314092068250,11.925,43.91,10.0,4.6,"67 km E of Obock, Djibouti"
1314075412870,12.01,44.089,10.0,4.9,"87 km E of Obock, Djibouti"
1312327472920,9.979,43.087,10.0,5.0,"34 km WNW of Baki, Somalia"
1311455247250,12.867,47.816,10.0,4.1,"193 km NNW of Las Khorey, Somalia"
1308302172570,13.303,41.732,10.0,5.6,"69 km S of Edd, Eritrea"
1307914915800,13.377,41.62,2.5,4.6,"61 km S of Edd, Eritrea"
1307914633320,13.213,41.792,12.2,4.5,"80 km S of Edd, Eritrea"
1307914268720,13.34,41.542,13.1,4.6,"67 km SSW of Edd, Eritrea"
1307913431220,13.408,41.548,10.0,4.6,"59 km SSW of Edd, Eritrea"
1307912603160,13.53,41.641,10.0,5.4,"44 km S of Edd, Eritrea"
1307912298460,13.433,41.682,10.0,4.0,"55 km S of Edd, Eritrea"
1307910760490,13.414,41.735,10.0,5.6,"57 km S of Edd, Eritrea"
1307910186400,13.392,41.62,10.0,4.3,"60 km S of Edd, Eritrea"
1307909454780,13.153,41.661,10.0,4.1,"86 km S of Edd, Eritrea"
1307908663910,13.377,41.665,10.0,4.4,"61 km S of Edd, Eritrea"
1307907856310,13.409,41.711,10.0,4.8,"57 km S of Edd, Eritrea"
1307907483460,13.226,41.735,10.0,4.5,"78 km S of Edd, Eritrea"
1307907463850,13.441,41.667,10.0,4.8,"54 km S of Edd, Eritrea"
1307907079750,13.251,41.795,10.0,4.2,"76 km S of Edd, Eritrea"
1307906635520,13.312,41.72,10.0,4.6,"68 km S of Edd, Eritrea"
1307906510810,13.303,41.801,10.0,5.0,"70 km S of Edd, Eritrea"
1307905417210,13.428,41.727,10.0,4.2,"55 km S of Edd, Eritrea"
1307904972850,13.262,41.765,10.0,4.0,"74 km S of Edd, Eritrea"
1307904531500,13.353,41.818,10.0,4.0,"65 km SSE of Edd, Eritrea"
1307901681720,13.196,41.818,10.0,4.4,"82 km S of Edd, Eritrea"
1307900840290,13.332,41.693,10.0,4.7,"66 km S of Edd, Eritrea"
1307899478940,13.097,41.779,10.0,4.0,"92 km S of Edd, Eritrea"
1307899089640,13.344,41.766,10.0,4.8,"65 km S of Edd, Eritrea"
1307898634810,12.91,41.74,10.0,4.0,"108 km W of Assab, Eritrea"
1307898546310,12.969,41.023,10.0,4.5,"128 km SW of Edd, Eritrea"
1307898000600,13.311,41.696,10.0,4.2,"68 km S of Edd, Eritrea"
1307897460390,13.349,41.763,10.0,4.3,"64 km S of Edd, Eritrea"
1307897080870,13.337,41.659,10.0,4.7,"65 km S of Edd, Eritrea"
1307896390730,13.294,41.756,10.0,4.3,"70 km S of Edd, Eritrea"
1307896069900,13.305,41.654,10.0,4.8,"69 km S of Edd, Eritrea"
1307895884070,13.398,41.726,10.0,4.8,"59 km S of Edd, Eritrea"
1307895731160,13.282,41.716,10.0,4.2,"71 km S of Edd, Eritrea"
1307895123180,13.322,41.781,12.5,4.7,"68 km S of Edd, Eritrea"
1307894970950,13.331,41.76,10.0,4.5,"66 km S of Edd, Eritrea"
1307893132000,13.339,41.637,10.0,4.0,"65 km S of Edd, Eritrea"
